"TICKER","MARKET","YEAR","LISTPRICE","VOLUMEIPODAY","OPENPRICEIPODAY","HIGHESTPRICEIPODAY","CLOSINGPRICEIPODAY","NEWSHARES","TOTALAPPLICATIONS","TOTALAPPLICATIONSHARES","TOTALBALLOTINGOSCBED"
1,"ACE",2023,0.675359254032524,2286161,0.639490964952109,0.775,0.68,NA,NA,NA,41.9769527463061
2,"ACE",2023,0.328099531463959,1561687,0.60013524815076,0.649,0.534,NA,NA,NA,45.4515781759439
3,"ACE",2023,0.300033832755066,2204339,0.262403894343929,0.367,0.307,NA,NA,NA,119.228601684054
4,"MAIN",2023,0.959712344533497,2354872,1.2802633424497,1.869,1.303,NA,NA,NA,18.0114881174736
5,"MAIN",2023,1.02949394724038,2236673,1.09750077232252,1.118,1.192,NA,NA,NA,14.2047883012195
6,"ACE",2023,0.38264432312913,1565537,0.724919633311235,0.702,0.487,NA,NA,NA,102.554498048221
7,"ACE",2023,0.236196152710633,6494698,0.702248048598579,0.765,0.692,NA,NA,NA,94.1559859582577
8,"ACE",2022,0.286948516224541,1481552,0.497512047507083,0.554,0.562,NA,NA,NA,31.0288726900713
9,"ACE",2022,0.296507313444032,1454616,0.594242994601858,0.612,0.534,NA,NA,NA,54.9908869590132
10,"MAIN",2022,1.05849989466255,1997006,1.14223115739666,1.001,0.955,NA,NA,NA,2.40029443332706
11,"ACE",2022,0.233800709639115,936825,0.357784018948268,0.346,0.299,NA,NA,NA,56.9559611628962
12,"ACE",2022,0.233223050641014,1078614,0.185562005529105,0.197,0.243,NA,NA,NA,5.07147879335697
13,"ACE",2022,0.491208719218151,1540643,1.46337575405579,1.587,1.681,NA,NA,NA,25.2592644616988
14,"ACE",2022,0.276231881883827,1273784,0.653447509504384,0.82,0.73,NA,NA,NA,16.6261500506197
15,"ACE",2022,0.228318931293609,1080248,0.197848048327208,0.154,0.246,NA,NA,NA,11.2707424907959
16,"ACE",2022,0.166761223588712,1102549,0.323607928385995,0.398,0.368,NA,NA,NA,7.2397846436399
17,"ACE",2022,0.301270461841403,1236015,0.500779429987543,0.543,0.536,NA,NA,NA,7.51649634832049
18,"ACE",2022,0.29927240457763,3259471,0.485779931406792,0.564,0.535,NA,NA,NA,48.6565313263794
19,"MAIN",2022,0.948279181858859,970339,1.49153848454517,1.778,1.347,NA,NA,NA,13.2733045007741
20,"ACE",2022,0.280349203635454,1411929,0.652915295547944,1.001,0.861,NA,NA,NA,119.411315874978
21,"ACE",2022,0.29079032607234,2516802,0.408983465112213,0.459,0.305,NA,NA,NA,115.07241921065
22,"ACE",2022,0.299301719089023,1451539,0.595513765528967,0.58,0.535,NA,NA,NA,117.372092912799
23,"ACE",2022,0.280503212096583,1490926,0.499535336831831,0.62,0.57,NA,NA,NA,37.4968948582025
24,"ACE",2022,0.31893185195135,2412144,0.496940825216593,0.466,0.304,NA,NA,NA,2.33218480459059
25,"ACE",2022,0.165033281866324,2121676,0.282927318607013,0.304,0.308,NA,NA,NA,32.2685563216951
26,"ACE",2022,0.300036486784854,1628315,0.497422581738129,0.466,0.384,NA,NA,NA,10.8268643459417
27,"ACE",2022,0.299735521823181,1883262,0.30830686784348,0.319,0.3,NA,NA,NA,40.3691444985964
28,"ACE",2022,0.290844121303671,1433022,0.649365785878535,0.782,0.711,NA,NA,NA,119.537634654767
29,"MAIN",2022,0.952933361878848,1437848,1.4161115786803,1.77,6.289,NA,16548,NA,18.44531378538
30,"ACE",2022,0.299716899620027,2431999,0.416773720160745,0.496,0.53,NA,NA,NA,10.9219958590763
31,"ACE",2022,0.279840011253595,1494527,0.594353147155436,0.618,0.53,2140000,NA,NA,118.651573603652
32,"ACE",2022,0.321229773909445,2462419,0.309806663324268,0.272,0.216,NA,NA,NA,18.9838525935813
33,"ACE",2022,0.329879024995641,1230802,0.596151116629419,0.554,0.536,NA,NA,NA,50.1673656920276
34,"ACE",2022,0.350865567030195,1887776,0.600168243124402,0.649,0.57,NA,NA,NA,21.1471292104983
35,"MAIN",2022,1.6962474222746,3377367,7.06734521424595,2.897,1.245,NA,NA,NA,2.44137344136756
36,"ACE",2022,0.178162306742134,3729308,0.375830848565846,0.381,0.299,NA,NA,NA,41.3744971344117
37,"MAIN",2022,1.11316689390133,2156292,1.05854357004316,1.2,0.98,NA,NA,NA,3.07185901770372
38,"ACE",2022,0.398529711683621,1500238,0.700567325411994,0.703,0.487,NA,NA,NA,148.062757325482
39,"ACE",2022,0.279948206330624,1937742,0.494895389181305,0.551,0.534,NA,NA,NA,10.9841945562098
40,"ACE",2022,0.300523322607116,1005776,0.217147325663747,0.209,0.231,NA,NA,NA,6.79817952501597
41,"ACE",2022,0.498663694213663,1967215,0.614717453246393,0.819,0.757,NA,8158,NA,11.378638582382
42,"ACE",2022,0.255771181490245,856600,0.291526715407418,0.254,0.14,NA,NA,NA,14.5384891593361
43,"MAIN",2022,1.07372694196955,960092,1.11098598082697,1.194,0.852,NA,26781,NA,18.2333583900659
44,"ACE",2022,0.359616722560318,1803074,0.600199867669775,0.696,0.588,NA,NA,NA,NA
45,"ACE",2022,0.319886320069932,1632099,0.310432711156411,0.299,0.28,NA,NA,NA,17.4325658842939
46,"MAIN",2022,1.12231175849803,5353,0.895117980582225,1.004,0.996,NA,NA,NA,2.50389213597486
47,"ACE",2022,0.319325362712866,1451229,0.648735791139874,0.819,0.624,NA,NA,NA,36.0987096145994
48,"ACE",2022,0.300157525751579,1025472,0.195090392755341,0.243,0.256,NA,NA,NA,19.5400020606922
